username,rating,comment
w*****w,5,Taste:good
qyings0402,2,"Texture:干
Taste:干"
melissamaggie,1,Taste:awful
angel_991112,5,"Taste:还不错

不错好吃 只是没有爆浆的感觉"
w*****g,5,niceeeeeeee niceeeeeeee niceeeeeeee niceeeeeeee niceeeeeeee
june_hoo,3,Taste:非常的普通 外层没有巧克力粉 夹心也没有巧克力。
h*****w,5,"Taste:还不知道，应该是ok的啦
Texture:还不知道

一天到货，包装还行。味道不知道怎样，还没试过，应该是ok的，好吃再买。"
e*****g,5,Received 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
yuki_tan98,5,
mingshentoh,5,好吃，就是感觉有点小但是真的不错，建议买买看
x*****6,4,有一个被压扁了，其他的都还可以，thankyou thankyou thankyou thankyou~~
callieshe,5,
jennycheahcjk,5,
qingpeiyeo,5,
fayeow,1,
siowsiewchoo,5,
t*****a,5,
stephyclt,5,
wxueyi,5,
wongkheeyen,5,
minghui4240,5,
celestechai929,5,
goldkaizoku,1,
applenee0320,5,
kahchun813,5,
qxiw90qda0,5,
qingyee36,5,
howyinrou,5,
yeezhenyang,5,
chiavueiyong,5,
linglingzz,5,
celestewong0702,5,
6qnz5ju3v9,5,
yeexiang85,5,
983ganxiaowei__,5,
zhuchenglan,5,
kvru8dlrnr,5,
seongng8263,5,
l.connie.cy,5,
susanling92,5,
darkmoon2007103,5,
ngsiewphing,5,
viviandiong,5,
hjabsvcsjskdndvdhdjjdjd,5,
diana82wls,5,
reinoyuki,5,
ang74,5,
kooxx,5,
d*****1,5,
tankewlim,1,
geminisister,5,
vallerynequ,5,
aiwibi.my,5,
seongng8263,5,
1vdg5_mh8_,5,
oscar012645467,5,
ngdfhxgvb,5,
w*****4,5,
waterlaw99,5,
kim1553kim,5,
soullui,5,
hxr0822,5,
joanyeoh0319,5,
tansiewling5044,5,
korver629,5,
siewling_0819,5,
jenisepang,5,
xiao_jack,5,
p44ad_movw,5,
kangyie,5,
cyc_10,5,
chanpikyng860919385154,5,
0212kwan,5,
zventoh,5,
jetyienyew,5,
niffercps026,5,
j*****7,5,
chongchuihaconnie,5,
hillaryhsan,5,
nlkx14,3,
angel8738,5,
jesslie83,5,
chithenglam,5,
winnyng1001,5,
leongtingting627,5,
y*****0,2,
leayshee,5,
a*****0,5,
weekendmonono,5,
rzf71emucx,5,
laiyanyee,5,
eddying93,5,
engsy87,5,
henrynguang,5,
i*****s,5,
kai.t_05,5,
tansl1997,5,
u*****3,5,
w*****7,5,
xiangnam,5,
mandyhim86,5,
ennn19,5,
sammichan1,5,
ted11ted,5,
adamongst,5,
llkelly26,5,
jaydengy,5,
weewee0102719835,5,
siewyi98,3,
jacksonkaw,5,
wenwenlee,5,
tony8313,5,
hj_diversestore,5,
wong9990,5,
danielleesy256,5,
lov3catty,5,
m*****g,5,
santinimanimaran,5,
3990.joyce,5,
aliceliow0321,5,
z*****n,5,
wells24,5,
huiyintan,5,
nicolessy,5,
meiimeii00,5,
chenpaikyoon,5,
t*****g,5,
johnsllll,5,
sengkiong96,5,
jueyy7370511,5,
j*****4,3,
eechuan78,5,
sandyyy20,5,
waiwai92,5,
ninetynineer,5,
ella7510,5,
chatweikang,5,
xinqianchay,5,
alex9038,5,
leanlean3733,5,
s*****7,5,
p*****h,5,
alextan0914,5,
sitinorhaliza,4,
khx016012,5,
xinyilim757,5,
wlsoh1186,5,
ongpeiling,5,
k*****i,5,
jared0810,5,
shanon43,2,
ginnylian,5,
leesiewhan,5,
beechiaofanny,4,
ericajingyii,5,
yeo0107,5,
teohkaiwen,5,
gladyskock78,5,
oliviachan0428,5,
tohyl00,5,
,5,
waihong1997,5,
candy_liew,5,
chinyong2000,4,
appleooi9218,5,
misukee,5,
alxtan0971,5,
j1casey,5,
onetick00,5,
m*****g,5,
bellinasia,5,
afhjqv_ug_,5,
xiiaomillk,5,
siang5555,5,
yumiyyyy2,5,
,5,
choonhenglee,5,
ruoning.,5,
puiyan01,5,
jolyntohyeexuan,5,
amandacheng050401,5,
tikfoo1012,5,
myen5218,5,
hua321,5,
y*****4,3,
tiffanyxx,5,
yapyeeteng840318,5,
leewh1234,5,
ghacie,5,
siang5555,5,
nikkymok,5,
chaiszeen,5,
k*****_,5,
k*****r,5,
j*****n,5,
kktstudio22,1,
limhoongkit,5,
wingkylim,5,
myessentialoiljourney,5,
t_qmnm6asflcqdk7gkjmpq7yj4io,5,
diuleiloumou,5,
imm4_v4m8d,5,
yeeling085150,5,
cazyworkshop,5,
castiel110,5,
lewvy,5,
catlim26,5,
leechoyfong,5,
kohxiakim,5,
pionce_teoh,5,
kelvinliew98,5,
atqlmc,5,
carmen_1997,5,
fruitbaba,5,
shuencbong,5,
sharonying98,5,
0oapimut2x,5,
m*****t,5,
jessieyyy_0917,5,
m*****e,5,
abcldecp,5,
yasuotimo,5,
chako040330,5,
k*****5,4,
jian97,5,
c*****0,4,
xiaowei_tan,5,
chewyuxin,5,
dengjun8458,1,
j*****e,5,
jessmin_quinn,5,
willamchua,5,
foo20020412,5,
zhiyinggggg28,4,
pantijamping,5,
ying4567yen,5,
graceseahhongchinn,5,
none.l,5,
n37cqgvztm,5,
y*****7,5,
sakuranochi,4,
vtvt8841,5,
