username,rating,comment
mahshiwei,5,
qianqian.5836,5,
qianqian.5836,5,
shirley1903,5,
shirley1903,5,
evetyz,5,
evetyz,5,
evetyz,5,
evetyz,5,
evetyz,5,
evetyz,5,
d6nn42exdd,5,
leeching2019,5,
leeching2019,5,
lyshertsp,5,
xy_9696,5,
seeyunlam123,5,
kuikui0315,5,
pandaelliny,5,
xingyee915,5,
shennie8896,5,
cheryl_lxr,5,
yfern211,5,
yan7471,5,
evelynchai07,5,
aisahadham83,5,
lowch123,5,
livian_5855,5,
lilylau918,5,
kau780321,5,
annpang_1981,5,
viviynawong,5,
maylee2815,5,
amyzara211,5,
chrisyen1219,5,
chong88005234,5,
limchewping,5,
lorna1993,5,
,5,
abbybie1,5,
jingman98,5,
ganpenang,5,
carynsim,5,
tanmeixuan,5,
x*****2,5,
huhunghung,5,
winnie4045,5,
sherlyn0.0,5,
jtb1234,5,
,5,
spacial_syara,5,
p*****1,5,
ailing6889,5,
meiyanlow,5,
aijo0415,5,
irene.sek,5,
leeboonmark,5,
pohenglew,4,
shuxin26,5,
kahmin1117,5,
rachelsiah26,4,
nfarhana91,3,
innnaritta,5,
elainetay_,5,
leemei1989,5,
jasqueen,5,
clivias920,5,
chris668688,5,
mikogoh1021,5,
candyyek,5,
leekongkhoon,5,
yokepingkong,5,
clovissee,5,
valerie_123,5,
heeheng6,5,
tysshop10,5,
kelliek,5,
lily5156,5,
