username,rating,comment
m*****n,5,第一次和这个卖家买零食，卖家隔天就出货了，我第3天就收到货了。货到什款的。零食也很新鲜，都是这几个月出品的。👍
marlinyunus,1,Bad
bulkpurchaser,3,"New Buyers, don't forget to key in code: BULKP222 TO GET RM8 INSTANT DISCOUNT while placing order before check out on your purchase!!! 
Item received but the cup not in good shape already..."
s*****n,5,Ok barang dah lama sampai dah habis makan baru nak rate ok ok bagus
s*****4,4,"Taste:good
Quality:good

Fast delivery, received in good condition, well packed, overalls ok."
leowxinpei5,1,"I am very angry that the product is very rotten. The packaging is casual. Seller, why does your product become like this !!!!!!!"
ooijolin,5,Item received in the good condition and fast delivery 👍👍👍👍👍
serinehow,5,真满意 已经回购好几次了 基本上都只和这商家购买 价钱便宜 发货速度也快 很喜欢 都是和身边的朋友推荐这家商店 包装也很好 真的是给100分❤️❤️
z*****n,5,Product delivered in good condition. Fast delivery with cheap price.
alleykitteh,5,"Received with the box cut open. Everything ok but there's 1 packet of noodle was cut open, i think its the delivery warehouse J&T , i think seller better wrap everything in bubble wrap first and put into the box."
p*****3,5,free gift and a pack of enoki mushrooms have expired， seller also replied that I would be refunded. It took five days for the order to arrive.
chongkent,5,😍 I have received the items.. Appreciate and thanks for the seller fast delivery
chewtantan,5,"Taste:good
Quality:good

Not taste as good as another one, package is abit bumped"
anicalee,5,"Taste:not bad but not that spicy more to sour
Quality:overall good

Very small portion suitable for supper hehe"
yonghuan0410,5,"OK包装很好，货物很快送到，会再回购，好吃就对了，试过就喜欢，Very good best deal, fast delivery 👍"
imanboleh,5,Thank you seller recurved in good condition and really love it very much. So far then brandson brand is the best quality than other i bought. Any way thank you so much dear seller.
l*****0,5,"Taste:酸辣酸辣
Quality:到货的时候包装有点烂了，快递并没有包到很好，只是用了plastice裹了几圈，但是货3天就到了，很快"
2*****w,5,"Taste:okay
Quality:okay

Item received in good condition and good packaging value for money"
z*****s,5,"Taste:Spicy
Quality:Okok

Received products in good condition, thank you."
1*****e,5,The glass noodle is chewy and taste good. Great packaging from seller.
atheneong,4,"Taste:Don't know yet! But mast of the comment state it is nice
Quality:Packaging is quite OK. Hope it taste nice"
tjygggg,5,The shipping was fast and the shipping was fast. The item was also pretty good and the price was not expensive.
e*****e,2,The product is damage😥 Please improve in packaging
m*****3,5,"Taste:spicy and sour
Quality:good

China spicy taste. Good . Convenient to bring outdoor.  Fast delivery.  Thank you seller"
c*****s,5,Received in good condition. Child like it. Good good good good.
l*****g,5,Item arrive..not yet try it will update later on...the packaging not that good even though already add empty box...hope for improvement
y*****a,5,"Taste:👍👌
Quality:⭐🤙

fast delivery！！and the expiration date is until December 2022"
lowdequan9403,5,"Taste:not good
Quality:diff from pict, seller fast shipping

我不会吃，对不起。不会再下。后悔大了。"
loksookyee,3,Disappointed when open the parcel received with this condition 😢😢😢😢😢
lhkoo,2,"Seller need to strengthen packaging, the boxes are opened. This will affect the quality of the food."
yulean110,5,"Taste:好吃
Quality:不错

收到货很好，有用泡泡纸抱着，超级好吃。酸酸甜甜辣辣的酸辣粉。非常感谢卖家（番薯王）的酸辣粉。"
a*****4,3,"Taste:Product taste below expectation
Quality:Shelf life is still long

This product tastes not good at all. Sour&Spicy noodle but not sour enough at all."
darrenyongchin,5,"Taste:taste was okay
Quality:quite small for a single meal

good for as a snack"
charissa123,5,"Taste:haven't try yet
Quality:good

Good value of money, delivery in five days, long expired~"
zwchen721,5,"Taste:good

good product My favorite food! I like it!!!!!!!!!!!!!"
s*****9,5,"Taste:good

A bit damaged but overall is good. Nice taste, will purchase again"
l*****e,5,"Shipping is fast, items are packed properly. Haven't tried."
joyi1115,5,"Taste:mala hot spi cy
Quality:good

fast delivery🚚nice product 👍🏻high quality😘h"
c*****j,5,"Good value of money, good product quality, fast delivery.."
s*****e,5,"Taste:good
Quality:在运输中有一点被压到了

有10个月保质期，都在保质期里，赞赞
盒子有一点被压了，介意的别买，整体不错
fast delivery👍🏻"
lee_sylvia321,5,itu seller very good service and good product quality i will buy again
e*****2,5,"Taste:酸辣清爽
Quality:好吃

Everything is in good condition ,fast delivery ,good value for money ,good service ,thank you ~"
t*****h,4,"Taste:Nice
Quality:Good

Shipping is okay but very disappointed because the box is already damaged badly. Would appreciate if seller could put more effort into wrapping them up. However the food is nice."
f*****m,5,"Taste:Very fast shipping & good packaging. Will repeat order.🙏👏👍👍
Quality:Good"
ahqing0430,5,"Taste:很不错，饿的时候可以代替杯面😂😂

除了外箱有点扁以外，里面的物品完好无损。无关店家的事。很好谢谢"
e*****y,5,"Good and reliable supplier, fast delivery, good packaging"
m*****5,4,"Delivery is a bit slow, probably due to CNY holiday. Although no bubble wrap but the items were not damaged. Haven’t tried yet, hopefully the taste is ok. Thank you."
lowkokhoong5,5,Best seller good products fast delivery good value good service will visit and buy again
n*****o,5,"received in good condition and nicely bubble wrapped, thanks seller"
n*****n,4,"delivery service is slow !!! 25th 2021 order , 4th 2022 only received parcel !! Seller also reply slow.. but everything is ok !"
s*****8,5,"Taste:Very nice
Quality:Good

Product received in good condition. This is my third time purchase already."
alicenhp,5,"Quick delivery, receive in good condition, comes with free gift, all goods expired date long shelf life"
g*****e,5,"Quality:good
Taste:one of the best instant noodle i have tried! Easy to prepare too!"
n*****5,5,"Quality:good

good nice ok金卡快去看看睡午觉啊卡卡去哦取卡凯撒不打击我那客气啦"
c*****3,5,"Taste:good
Quality:good

Fast delivery and good product quality.
Good value for money."
p*****5,5,"Quality:good

Parcel arrived safely.Awesome price and fast shippping.Recommended.
TQ ☺️☺️☺️"
z*****3,5,Fast delivery and received with good condition.. will order again.
n*****6,5,"One dented out of three. Quite sad about this. But it’s fine, least the packaging didn’t burst"
c*****y,5,"Delivery is efficiency, Manufacture date of the product is Oct 2021 , overall OK"
j*****6,5,"Items received in good condition, good packaging wrap with bubble wrap.
Delivery abit slow
Arrived safely"
s*****h,5,looks good take 4 days to receive since they rest on Saturday and Sunday
boonler_21,5,"Nice packing and fast delivery. Cheap compare to other sellers, good value for money"
karenleong1314,5,"Taste:❤️

Super fast, I like your store very much.Late to comment🙂❤️"
singyeeking,5,"Received in good condition 
Welly packed, like the taste and the sensation."
w*****6,5,received well packed and as expected. Only one self heated rice box is dent. Hopefully still can self heated.
c*****g,5,"Received in good condition, delivery time very fast, packing ok"
carmenbpcy,5,"Taste:good
Quality:good

Good product quality, good value for money, fast delivery, excellent service by seller."
k*****d,5,havent taste. later i update the review ok hahahaha sorry!!
aimeilee402,5,"Received already my think , good condition, second purchase so happy thanks."
i*****y,5,"I received it, the shipment is fast, and the things are cheap, thank you seller"
n*****6,5,No bubble wrappers for everything I bought. Luckily nothing was damage.
f*****h,5,"Good service by seller,very fast delivery,will buy again,thanks."
w*****4,5,Good packing...haha...Received with a bad product...Hahaha Hahaha 😄lucky only the boxes 📦...noodles still can eat . hahaha
h*****y,4,Cup noodles received in dented condition..it is better to wrap it in cardboard..
x*****1,5,Taste:Really sour and spicy. A little of mala feel. Worth the price.
c*****y,5,"Delivery: ordered on the 6th Oct and received on 8th Oct. So fast 
Packaging: items wrapped nicely
Items: no damage. Looks as in picture
Comment: thanks seller
…:::…:::…:::…:::…:::…:::…:::…:::…:::…:::…:::…:::…"
chewtantan,4,"Erm, I received two of them with bumped package, but two in good condition, I’m not sure about the delivery man’s fault or the seller’s fault ya, but I think it’s good to eat"
1*****t,5,"Taste:👌 👍
Quality:👌 👍

Fast delivery and excellent service by seller and very good quality product and thanks"
c*****g,5,Fast delivery good value of money.. Good packing.........
t*****m,5,卖家服务态度好👍🏻 发货也很快 大概2天酱就收到货了 价钱也合理💰👍🏻👍🏻 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
candyeng123,5,Fast delivery and products were received in good condition.
m*****0,5,"Taste:havent try yet，hope good taste
Quality:good

good product quality，good value for money，fast delivery!"
lsn0810,5,Nice and valuable product. Fast and safe shipping. SUPPORT
lhyrainbow,5,"fast delivey and nice packging
so good
price aslo afforable"
t*****0,5,"Fast delivery 👍🏻👍🏻👍🏻
Good value for money 
Thank you so much…"
s*****n,5,"Taste:very good , I like it very much

Very fast delivery and cheaper than physical store"
p*****1,5,"Taste:sour spicy

包装很好， 面饼没有碎
酸酸辣辣又弹牙，会回购
good value for money
❤️❤️❤️"
s*****8,5,"Fast delivery, even affected by flood, first time buying these products, hope it tastes good."
s*****9,5,"This is my 3rd purchase 
It Taste so good and love it
But the parcel handling need improvements"
corahiew,5,"Taste:好吃
Quality:5

Thank you for your delivery 🚚 📦 
It taste good 👍🏻 希望包装有损的那些，不影响它的口感😊"
j*****1,5,"Order received, delivery is fast. Wrapped with bubble wrap but still this condition."
shirleyq,5,"Good value for money very cheap this is most cheaper I bought it, spicy 🔥🔥🔥"
cheahyunyan,5,"Product received in good condition, delivery ok quite fast, the price is very cheap 😍 but the taste no so good but still can accept ❤️ Next time will try another brand 😍"
e*****1,5,Received in good condition and fast delivery..thank you seller.
kkellly,5,"Goooooooooooooooooooooo9ooooooo9oooooooooooooooooooooooooooooooooooooooooood
Niceeeeeeeeeeeeeeeeee3eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee3eeeeeeeeeeeeeeeeeeee3eeeeeeee
Fast also thhankkk youuuuuu sellllllleeeeeerrrrrrrrr."
t*****n,5,Barang diterima dengan selamat dan dalam keadaan yang baik...
e*****3,5,The product arrived in good condition. Thank you seller!!!!!!
w*****g,5,东西完好无缺，建议想要购买的直接买一箱，不用担心会被压坏。👍 物流中等，这个牌子购买很多次了，很好吃。不太能吃辣的可以试试。
a*****6,5,Thank you seller I have received the items safety fast delivery
g*****n,5,Well received and delivery was considered quite fast. This will be my lunch tomorrow 😀
p*****8,5,"Received order after 2 days - impressive!  Hopefully, it tastes good!"
vinchell,5,Product received well in a box! The delivery took like 6days. Bought this for my nephew!
l*****1,3,Slow delivery…Maybe because I opt for sea shipping… everything in order… Taste wise not nice
c*****e,5,Good product and fast delivery and yummy yummy I love it very much thanks
c*****1,5,Delivered very fast and in good order. Nice food to have once a while.
tay.5541,4,"good value of money
But the delivery has a little bit slowly 
When I received it The plastic bag has been split, so some products have been deformed"
happycsc,5,Rcvd with good product quantity and good value for money will purchase again thank you
t*****e,5,味道呢…..蛮谈的…不辣也不酸 毕竟才rm2多 也不能expect到怎样 btw面很顺滑 like👍👍👍👍👍👍👍👍👍👍👍👍👍👍
xuan0334,5,"Very fast delivery within two days to arrived excluding  Saturday and Sunday . The wrapping also good,item come in good condition."
y*****6,5,Received my parcel with good condition... Fast delivery... Thank you very much...
fixallmarketing,5,"Received in good condition,  the shipping time take a few day, but it's ok can accept"
csfen0723,5,I'm happy to receive the product in good condition. The seller also very efficient to ship out with fast speed.
a*****3,5,"Nice packing and nice shipping man ,没有凹陷
And very fast delivery 👍✊👍👍thankiu seller ~"
c*****g,5,Bought where there’s cashback. Fast delivery and good product quality! Wrapped well
thanhtruc111297,5,Thisss no bad Thisss no bad Thisss no bad Thisss no bad Thisss no bad Thisss no bad Thisss no bad Thisss no bad
yingenlim,2,Price lower than I used to buy. Good bargain but unfortunately flavor different from I bought last time even texture not same either so sad!
jtotheessicaa,5,"Order received in good condition, good value for money, thanks"
yioyio789,5,"never try before, heard ppl say nice, so boughtas to try, thanks seller for posting past"
g*****n,4,"Received with slight dent on two of of the items. Saw some really bad reviews regarding the packaging and was really worried at first. I guess I’m lucky to receive the products with no major damage 😅 But it took more than a week to arrive, which is quite upsetting tbh."
yeepeyyinn,5,Parcel was packed well and items were received in good condition. Can't stop once try. Recommended.
s*****w,5,"25/9 下单订购
27/9 收到包裹
包裹安全收到，出货速度很快，
当天订购隔天就出货了，包裹
安全收到，卖家服务态度好。
第一次购买酸辣粉，还没吃，希望好吃。"
h*****x,5,"Received in good condition with fast delivery service. Overall is great, thanks!"
tantaloy,5,Come in good condition. Box still in nice condition but the box got abit rosak
nataliechong0071122,5,I have received this item in good condition and seller ship it out fast too.
v*****n,5,Very good. Fast delivery. Good value for money. Delicious and easy to cook.
limgoldie,5,This is my second time to purchase. The noodles is damm nice and spicy🍜🍜🍜
t*****2,3,"The delivery is fast but the parcel is a little bit broken, so a little bit disappointed."
m*****h,5,Received product safely. But the cup both have dented but not affect the taste. Shipment fast. Already taste the 酸辣粉 sour and spicy inside still have peanut.
neyolim,3,Barang sampai ada kemek sikit tapi OK la makanan di dalam tiada rosak
ggnais,5,"Received in good condition.. Haven't try this product haha, hope taste good for me, thanks seller"
p*****g,5,"Fast delivery 📦 
Received in good condition 👍
Good value for money 💰"
t*****1,5,"Fast delivery and seller response is good 👍👍
Snacks taste yummy... 😋😋"
p*****e,5,"Fast shipping from seller, will definitely repeat order after finishing it 👍👍👍👍👍"
yeebeauty,5,"Seller shipped the products fast, Good packaging, value for money"
ghua53,5,Items received in a box. A few dented buy still OK. Shipping is fast.
m*****7,4,"Not recommended 
Tasteless plain
No sour no spicy 
Fast delivery"
t*****9,5,Nicely packaged items and quick delivery. Thanks thanks...
s*****n,5,Good product but a bit slow delivery from seller tqtqtq!!!!
priscillawee910,5,Items were packed securely and received in good condition.
vincytchuey,5,"Fast delivery, products received in good condition, tqvm🌹"
x*****y,5,"Seller ships the items very fast, items received in good condition, thank you!"
christy1500,5,parcel was packed well and items were received in good condition.
huichi99,5,Good ..........good.........👍👍👍👍👍👍👍👍👍love💕💕💕💕💕💕💕💕🥰🥰nice
j*****w,4,当我打开箱子的时候，东西都被排得不错，就是有两个酸辣粉已经变形了，不过问题不大。物品齐全，delivery也很快，谢谢店家。
s*****2,5,"Good value of money ,more cheaper than others big portion 👍👍"
l*****n,5,"Good product quality, good value for money and fast delivery"
a*****n,4,Received in good condition and can't wait to try it out.....
w*****_,5,"Crushed
But fast logistic 
Another good condition 
Cheap and good quality"
c*****k,5,"Taste:nice, I tried before, so buy it againnnnnnnnnnnnnnnnnn 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻Ok"
steventty77,5,"Received all items in good condition 
Fast delivery from seller"
luxlance.os,5,Nice packaging. Fast delivery. Good seller!!!...........
w*****m,4,what happen to my 酸辣粉？xmau kasi saya makan kah? sedih saya tengok😢 seller attitude ok 4star for u ya
s*****4,2,The cup wasn’t in good shape. Seller need to be more cautious on packaging. Especially when it came to food.
j*****5,5,"Ship out my order very fast! Potato king is cheaper than any other shop! I’m Super fan of sour spicy noodle, won’t settle with one cup😆 other brand might cost double or triple of this price. So would like to give this brand a try. Hopefully won’t taste much different than other expensive brand"
hueypin123,5,Received in good condition. Fast delivery. Good value for money. First try on it.
rach3ly33,3,"Packing no good  
Pls pack nicely 
Fast delivery 
Okokokokokok"
j*****y,5,"Price cheap~~good value for money,very fast delivery
thank you seller~~good packaging"
e*****y,5,Well packaging but still got some bent. Hope inside is good..
rosemary8893,5,Never try before wan to give a taste hopefully not let me to thrown away
h*****y,3,I am shock when i received this!!!!.. But remove the cup.. Inside still can eat...
j*****6,5,"Fast delivery 
Value for money 
Thanks sellers 
Will buy again 
👍👍👍👍"
m*****8,5,"Yet to try the noodles, but parcel took some time to arrive. Only one cup noodle damaged, others in good condition."
w*****4,5,Good good good good good good good good good good good good good
m*****y,5,Very fast to arrive. Looks good. Can't wait to try . Thanks seller
a*****8,4,"Ordered 25/8. Received 27/8. Cup noodle received was squashed :( other than that, everything else was good!"
j*****o,5,"Good product quality, good value for money. Thank you seller."
j*****5,5,"Received in good packaging, all snack in good condition, the deliver quicky fast."
c*****g,5,"Fast Ship Out, Fast Delivery, Well Package, cheap. 5 Stars."
huiveong,3,This is probably due to high pressing of the Parcel by delivery man . Seller can put in a box when pack the parcel as the product is easily run out of the shape !
r*****n,5,"order 21/8, reached 24/8
very well packed, always to eat this brand, so happy to have found it here"
_*****n,5,Items received in a correct quantity and fast delivery tqsm
d1bx6q0wl_,5,fast delivery and the package is good hope the taste also good
m*****8,4,Very cheap and really worth the price! The shop has a lot different snack types.
nikiyong,5,"Fast response immediate shipping. 
Highly recommended item received in perfect condition.
Taste not bad, but small portion."
o*****g,5,"First time purchase here...
thank you...
good value for money..."
m*****s,5,"Fast delivery, have not try, will buy again if nice. Thanks seller."
daniel_1223,1,"unfortunately due to courier service, when i received the item alrd become like this, but seller do give compensation for 10% of defect items"
l*****0,5,"nice packing👍👍
Received in good condition👍
Overall is okay👍"
c*****y,5,Prompt delivery and parcel arrived in good condition. Recommended 👍🏻👍🏻
evinong09,5,帮朋友买的 他说这款没那么辣 孩子很喜欢吃 价格也便宜 货到满快的 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
k*****e,5,Very well packed and received in good condition. 😋 😋 😋 😋 😋 😋 can’t wait to try ✌🏻 ✌🏻 ✌🏻 ✌🏻
eure777,5,"Very fast delivery, good value for money, nice packaging, will come back and reorder again"
koonsan53,5,"Good product , good packaging, received in good condition 👍"
,5,酸辣粉很好吃哦 之前在别家买过 这家是第一次 前天下单 今天就到了 真的很快 而且包装很好 没有扁也没有其他损坏哦 吃完了再回购哦谢谢
c*****n,5,Fast delivery. Thank you very much. Will buy again in future
f*****g,5,"fast delivery .3-4day received...packing well....
got free gift....."
e*****4,5,All of the items received in good condition and in 2 days after ordering. Haven't tried yet but looks good!
h*****4,5,我觉得非常好哦，出货也很快。东西都完好收到，全都很好吃。这次购物非常开心，我的孩子也都很喜欢吃。谢谢！
loopeiling,5,"The goods will be received soon
Thank you, seller
No damage thanks"
s*****4,5,Fast delivery!!!Received in good condition!! Thank you!!
c*****o,5,"Good product quality and fast delivery 
Took only 2 days to arrive"
